Drug_ID,Target_ID,pair_id,Core5_Votes,Optional_Votes,Total_Votes_Optional7,Supporting_Models,graphdta_score,dtiam_score,drugban_score,deeppurpose_score,deepdtagan_score,moltrans_score,conplex_score,Drug_Name,Drug_Type,target_name,gene_name,uniprot_accession,organism,Predicted_Disease_TXGNN,Disease_Probability_TXGNN,Disease_Type_TXGNN
DB16186,BE0000155,DB16186|BE0000155,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,13.663,0.004888888914138,0.99938977,7.4329,12.80184,,,PEN-866,small molecule,Toll-like receptor 7,TLR7,Q9NYK1,Humans,congenital analbuminemia,0.9983,Cold-Start
DB16186,BE0000110,DB16186|BE0000110,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,13.2145,0.0034074077848345,0.9969311,7.4803,12.80058,,,PEN-866,small molecule,P2Y purinoceptor 12,P2RY12,Q9H244,Humans,congenital analbuminemia,0.9983,Cold-Start
DB16186,BE0000091,DB16186|BE0000091,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,13.5648,0.1262457966804504,0.0009789729,7.4313,12.80391,,,PEN-866,small molecule,"DNA topoisomerase I, mitochondrial",TOP1MT,Q969P6,Humans,congenital analbuminemia,0.9983,Cold-Start
DB16186,BE0000061,DB16186|BE0000061,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,13.4372,0.0031111133284866,0.9761095,7.6656,12.80638,,,PEN-866,small molecule,Cannabinoid receptor 1,CNR1,P21554,Humans,congenital analbuminemia,0.9983,Cold-Start
DB16137,BE0001035,DB16137|BE0001035,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.5466,0.5169375538825989,0.99246997,4.8665,12.73646,,,Dezapelisib,small molecule,Protein-glutamine gamma-glutamyltransferase 2,TGM2,P21980,Humans,congenital analbuminemia,0.9946,Cold-Start
DB16137,BE0000018,DB16137|BE0000018,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4929,0.0585001856088638,0.99662066,4.8154,12.73112,0.0004890304,,Dezapelisib,small molecule,G protein-coupled receptor kinase 3,GRK3,P35626,Humans,congenital analbuminemia,0.9946,Cold-Start
DB16066,BE0000988,DB16066|BE0000988,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4621,0.0541646629571914,0.9892235,4.2833,12.73999,0.017338594,,Ilacirnon,small molecule,Beta-secretase 1,BACE1,P56817,Humans,congenital analbuminemia,0.9938,Cold-Start
DB16066,BE0000262,DB16066|BE0000262,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4747,0.0552399866282939,0.981386,4.586,12.77378,0.22334327,,Ilacirnon,small molecule,Prostaglandin G/H synthase 2,PTGS2,P35354,Humans,congenital analbuminemia,0.9938,Cold-Start
DB16048,BE0000132,DB16048|BE0000132,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4815,0.0680174157023429,0.9748053,5.5285,12.72409,,,BTRX-246040,small molecule,Androgen receptor,AR,P10275,Humans,congenital analbuminemia,0.9735,Cold-Start
DB16038,BE0016431,DB16038|BE0016431,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.5591,0.4760528206825256,0.97278285,5.0631,12.63936,0.047549795,,PLX8394,small molecule,Protein mono-ADP-ribosyltransferase TIPARP,TIPARP,Q7Z3E1,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0009433,DB16038|BE0009433,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.6672,0.8321040272712708,0.98366404,5.0787,12.65112,,,PLX8394,small molecule,Eukaryotic translation initiation factor 2-alpha kinase 1,EIF2AK1,Q9BQI3,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0009427,DB16038|BE0009427,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.5649,0.0445065982639789,0.9835224,5.0183,12.63648,,,PLX8394,small molecule,Casein kinase I isoform alpha,CSNK1A1,P48729,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0008668,DB16038|BE0008668,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4799,0.082563504576683,0.983973,5.058,12.64001,,,PLX8394,small molecule,GABA(A) Receptor Benzodiazepine Binding Site,GABRA1,P14867,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0005865,DB16038|BE0005865,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.6413,0.1311252415180206,0.99999106,5.3573,12.6397,,,PLX8394,small molecule,Orexin receptor type 2,HCRTR2,O43614,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0004797,DB16038|BE0004797,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4799,0.082563504576683,0.983973,5.058,12.64001,,,PLX8394,small molecule,GABA(A) Receptor,GABRA1,P14867,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0003749,DB16038|BE0003749,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.5938,0.0664282888174057,0.9934882,4.9892,12.63815,,,PLX8394,small molecule,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,PPP2R5C,Q13362,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0001852,DB16038|BE0001852,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.6674,0.94559246301651,0.99997544,5.0475,12.71202,0.28975222,,PLX8394,small molecule,Kinesin-like protein KIF11,KIF11,P52732,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0000795,DB16038|BE0000795,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.4799,0.082563504576683,0.983973,5.058,12.64001,,,PLX8394,small molecule,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,P14867,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0000707,DB16038|BE0000707,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.5645,0.0773941278457641,0.98091507,5.1865,12.66445,,,PLX8394,small molecule,Retinoic acid receptor RXR-gamma,RXRG,P48443,Humans,congenital analbuminemia,0.9092,Cold-Start
DB16038,BE0000412,DB16038|BE0000412,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepDTAGen,12.9408,0.0451792515814304,0.99491394,5.5376,12.61445,,,PLX8394,small molecule,Retinoic acid receptor RXR-alpha,RXRA,P19793,Humans,congenital analbuminemia,0.9092,Cold-Start
DB15822,BE0009524,DB15822|BE0009524,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6913,0.0094509879127144,0.99632084,8.0211,12.57692,,,Pralsetinib,small molecule,Serine/threonine-protein kinase PLK4,PLK4,O00444,Humans,pulmonary venoocclusive disease,0.9254,Cold-Start
DB15685,BE0009524,DB15685|BE0009524,4,0,4,GraphDTA;DTIAM;DrugBAN;DeepPurpose,12.8297,0.699458122253418,0.9989422,7.5644,11.7382,,,Selpercatinib,small molecule,Serine/threonine-protein kinase PLK4,PLK4,O00444,Humans,pulmonary hypertension,0.9918,Standard
DB15646,BE0019375,DB15646|BE0019375,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6174,0.0044074403122067,0.99906427,8.2691,12.84394,0.002656845,,Fasitibant,small molecule,Poly [ADP-ribose] polymerase tankyrase-2,TNKS2,Q9H2K2,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0018885,DB15646|BE0018885,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.527,0.0020740807522088,0.99090064,8.1649,12.8271,,,Fasitibant,small molecule,Monoglyceride lipase,MGLL,Q99685,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0018382,DB15646|BE0018382,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6034,0.0071112308651208,0.97372717,8.0888,12.8646,,,Fasitibant,small molecule,PRKC apoptosis WT1 regulator protein,PAWR,Q96IZ0,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0012352,DB15646|BE0012352,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.8572,0.0057778097689151,0.9670019,8.2078,12.83886,,,Fasitibant,small molecule,Poly [ADP-ribose] polymerase tankyrase-1,TNKS,O95271,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0010707,DB15646|BE0010707,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5194,0.0072593144141137,0.9937534,8.0558,12.86869,,,Fasitibant,small molecule,Baculoviral IAP repeat-containing protein 7,BIRC7,Q96CA5,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0010055,DB15646|BE0010055,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,12.5321,0.0441243276000022,0.23763946,8.0847,12.78915,0.00028611935,,Fasitibant,small molecule,Sodium/Potassium Transporting ATPase,ATP1A1,P05023,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0010014,DB15646|BE0010014,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6631,0.0022222222760319,0.99844176,8.0603,12.8537,0.39922556,,Fasitibant,small molecule,VLA-4 (very late antigen-4),ITGA4,P13612,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009964,DB15646|BE0009964,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5969,0.0050371340475976,0.9994611,8.06,12.82966,,,Fasitibant,small molecule,Caspase-4,CASP4,P49662,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009927,DB15646|BE0009927,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6568,0.0097778486087918,0.98577625,8.061,12.8617,0.37085223,,Fasitibant,small molecule,Neuronal Acetylcholine (nACh) Receptor Subunits,CHRNA10,Q9GZZ6,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009910,DB15646|BE0009910,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5337,0.005481562577188,0.9707069,8.1672,12.84339,,,Fasitibant,small molecule,Histidine-rich glycoprotein,HRG,P04196,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009882,DB15646|BE0009882,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5618,0.0062255444936454,0.9998765,8.3964,12.83997,,,Fasitibant,small molecule,Sphingosine 1-phosphate receptor 4,S1PR4,O95977,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009786,DB15646|BE0009786,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4756,0.0081481486558914,0.9722186,8.0539,12.85803,9.1574736e-07,,Fasitibant,small molecule,Prohibitin 1,PHB1,P35232,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009742,DB15646|BE0009742,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5709,0.0035643696319311,0.99985003,8.1266,12.84354,,,Fasitibant,small molecule,Matrix metalloproteinase-25,MMP25,Q9NPA2,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009536,DB15646|BE0009536,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4801,0.0053333342075347,0.98015,8.0984,12.85644,0.07362275,,Fasitibant,small molecule,Uncharacterized serine/threonine-protein kinase SBK3,SBK3,P0C264,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009532,DB15646|BE0009532,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5991,0.0037037038709968,0.99995327,8.057,12.85003,,,Fasitibant,small molecule,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,O43353,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009485,DB15646|BE0009485,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6352,0.0034074075520038,0.9991678,7.5599,12.83202,,,Fasitibant,small molecule,Megakaryocyte-associated tyrosine-protein kinase,MATK,P42679,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009413,DB15646|BE0009413,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,13.0704,0.0022222222760319,0.99797755,8.1512,12.82833,,,Fasitibant,small molecule,Tyrosine-protein kinase Blk,BLK,P51451,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009153,DB15646|BE0009153,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5357,0.0042977849952876,0.9935868,8.2823,12.81579,,,Fasitibant,small molecule,G-protein coupled receptor 12,GPR12,P47775,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009076,DB15646|BE0009076,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5673,0.0057777855545282,0.9875672,8.1148,12.88166,,,Fasitibant,small molecule,Ficolin-3,FCN3,O75636,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009055,DB15646|BE0009055,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4985,0.0042963428422808,0.97154725,8.2598,12.88398,,,Fasitibant,small molecule,Clusterin,CLU,P10909,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0009025,DB15646|BE0009025,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5558,0.0047409543767571,0.9850309,8.0949,12.8445,,,Fasitibant,small molecule,Heterogeneous nuclear ribonucleoprotein F,HNRNPF,P52597,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0008983,DB15646|BE0008983,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5213,0.0022222222760319,0.97856975,8.0259,12.79147,,,Fasitibant,small molecule,Prostate-specific antigen,KLK3,P07288,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0008954,DB15646|BE0008954,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6131,0.0048888945020735,0.99158317,8.0933,12.81521,,,Fasitibant,small molecule,DNA-3-methyladenine glycosylase,MPG,P29372,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0008652,DB15646|BE0008652,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5966,0.0065186829306185,0.9995758,8.2456,12.86331,,,Fasitibant,small molecule,Sphingosine 1-phosphate receptor 1,S1PR1,P21453,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005865,DB15646|BE0005865,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5666,0.0073090903460979,0.9997049,8.3943,12.84809,,,Fasitibant,small molecule,Orexin receptor type 2,HCRTR2,O43614,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005864,DB15646|BE0005864,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6,0.0144175244495272,0.998072,8.3395,12.85212,0.0007385126,,Fasitibant,small molecule,Orexin/Hypocretin receptor type 1,HCRTR1,O43613,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005190,DB15646|BE0005190,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.563,0.0025185185950249,0.9953505,8.2213,12.84024,,,Fasitibant,small molecule,G protein-activated inward rectifier potassium channel 3,KCNJ9,Q92806,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005034,DB15646|BE0005034,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,12.584,0.0391350612044334,0.7565619,7.9718,12.84536,,,Fasitibant,small molecule,Sodium/potassium-transporting ATPase subunit alpha-2,ATP1A2,P50993,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005015,DB15646|BE0005015,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6975,0.0035555635113269,0.96654963,8.1576,12.81443,7.5845937e-06,,Fasitibant,small molecule,Arsenite methyltransferase,AS3MT,Q9HBK9,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0005001,DB15646|BE0005001,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4968,0.0025185185950249,0.99881303,8.0783,12.8827,,,Fasitibant,small molecule,Steroid hormone receptor ERR2,ESRRB,O95718,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004951,DB15646|BE0004951,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,12.6314,0.0549257583916187,0.12680465,8.1755,12.79911,,,Fasitibant,small molecule,DNA topoisomerase 2,TOP2A,P11388,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004924,DB15646|BE0004924,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5419,0.0072634574025869,0.99800056,8.0905,12.85395,,,Fasitibant,small molecule,activator protein 1,ATF1,P18846,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004758,DB15646|BE0004758,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5162,0.0040002185851335,0.96693635,7.3994,12.80921,,,Fasitibant,small molecule,Serine/threonine-protein kinase Nek11,NEK11,Q8NG66,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004741,DB15646|BE0004741,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.7815,0.0034074161667376,0.98908,8.4236,12.87786,0.00012212544,,Fasitibant,small molecule,Discoidin domain-containing receptor 2,DDR2,Q16832,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004728,DB15646|BE0004728,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6565,0.0080474438145756,0.98730034,8.0923,12.84701,,,Fasitibant,small molecule,Sphingosine kinase 1,SPHK1,Q9NYA1,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004717,DB15646|BE0004717,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4994,0.0066666682250797,0.99942017,8.1072,12.8467,2.5429541e-05,,Fasitibant,small molecule,Potassium voltage-gated channel subfamily A member 5,KCNA5,P22460,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004687,DB15646|BE0004687,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.8984,0.0044445949606597,0.98713315,8.1853,12.70566,,,Fasitibant,small molecule,A disintegrin and metalloproteinase with thrombospondin motifs 4,ADAMTS4,O75173,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004515,DB15646|BE0004515,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.653,0.0044454797171056,0.99767774,8.1492,12.8015,,,Fasitibant,small molecule,Poly(A) polymerase alpha,PAPOLA,P51003,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0004020,DB15646|BE0004020,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5983,0.001629629638046,0.98433477,8.0955,12.82799,,,Fasitibant,small molecule,Very low-density lipoprotein receptor,VLDLR,P98155,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003888,DB15646|BE0003888,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,12.9174,0.0562242232263088,0.5471418,8.1255,12.83101,,,Fasitibant,small molecule,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003793,DB15646|BE0003793,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.8714,0.0041486853733658,0.9999863,8.1584,12.81869,,,Fasitibant,small molecule,Endothelin-converting enzyme 1,ECE1,P42892,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003782,DB15646|BE0003782,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5322,0.0020740742329508,0.9999336,7.8042,12.85297,,,Fasitibant,small molecule,TGF-beta receptor type-1,TGFBR1,P36897,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003780,DB15646|BE0003780,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.623,0.0025185192935168,0.99973875,8.1509,12.86082,,,Fasitibant,small molecule,Glycylpeptide N-tetradecanoyltransferase 2,NMT2,O60551,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003730,DB15646|BE0003730,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6207,0.0032593680080026,0.9856129,8.1959,12.72423,,,Fasitibant,small molecule,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS5,Q9UNA0,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003693,DB15646|BE0003693,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6411,0.0030746608972549,0.998055,8.2477,12.74366,0.004779875,,Fasitibant,small molecule,Matrix metalloproteinase-15,MMP15,P51511,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003689,DB15646|BE0003689,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.7393,0.0025214413180947,0.99820065,8.2007,12.80461,5.7639387e-08,,Fasitibant,small molecule,Stromelysin-2,MMP10,P09238,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003625,DB15646|BE0003625,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.4868,0.0047407411038875,0.99998665,7.4245,12.84647,6.288074e-05,,Fasitibant,small molecule,Carbonic anhydrase 3,CA3,P07451,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003610,DB15646|BE0003610,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5838,0.0029629908967763,0.99805,8.0766,12.87335,,,Fasitibant,small molecule,Aldo-keto reductase family 1 member D1,AKR1D1,P51857,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003599,DB15646|BE0003599,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5913,0.0075122257694602,0.98277354,8.2844,12.88075,,,Fasitibant,small molecule,Gamma-aminobutyric acid receptor subunit delta,GABRD,O14764,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003582,DB15646|BE0003582,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6492,0.0044444445520639,0.99956435,8.1793,12.84523,,,Fasitibant,small molecule,Potassium channel subfamily K member 3,KCNK3,O14649,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003518,DB15646|BE0003518,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.8021,0.0031111114658415,0.9999763,8.2891,12.83058,,,Fasitibant,small molecule,Toll-like receptor 8,TLR8,Q9NR97,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003506,DB15646|BE0003506,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5512,0.0048888912424445,0.98456305,8.0327,12.85547,,,Fasitibant,small molecule,Transmembrane anterior posterior transformation protein 1 homolog,TAPT1,Q6NXT6,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003503,DB15646|BE0003503,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5987,0.0035569735337048,0.98247683,8.224,12.85999,,,Fasitibant,small molecule,Carboxypeptidase N catalytic chain,CPN1,P15169,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003480,DB15646|BE0003480,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.7639,0.0056296298280358,0.9999764,8.2206,12.81802,7.8861034e-05,,Fasitibant,small molecule,Cytochrome P450 26A1,CYP26A1,O43174,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003446,DB15646|BE0003446,4,0,4,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen,12.6431,0.063292272388935,0.05741154,8.4658,12.85781,,,Fasitibant,small molecule,G-protein coupled estrogen receptor 1,GPER1,Q99527,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003411,DB15646|BE0003411,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.5227,0.0045928508043289,0.9990476,8.0571,12.91196,,,Fasitibant,small molecule,Platelet-derived growth factor D,PDGFD,Q9GZP0,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003407,DB15646|BE0003407,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6003,0.0026666729245334,0.9999157,8.2313,12.83943,,,Fasitibant,small molecule,Carboxypeptidase B2,CPB2,Q96IY4,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0003399,DB15646|BE0003399,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6613,0.0084966821596026,0.9974246,8.0698,12.84204,5.1351246e-05,,Fasitibant,small molecule,Free fatty acid receptor 4,FFAR4,Q5NUL3,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
DB15646,BE0002422,DB15646|BE0002422,4,0,4,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen,12.6092,0.0028148288838565,0.9978058,8.1267,12.85907,,,Fasitibant,small molecule,Alpha-galactosidase A,GLA,P06280,Humans,"palmoplantar keratoderma, nonepidermolytic, focal 1",0.6763,Cold-Start
